sound,description,anterior,approximant,atr,back,breathy,centralized,click,consonantal,constricted,continuant,coronal,creaky,distributed,dorsal,glottal,high,labial,laminal,lateral,length,low,nasal,pharyngeal,preaspirated,preglottalized,prenasal,retracted,rhotacized,round,sibilant,sonorant,spread,strident,syllabic,tense,tone_contour,tone_end,tone_level,tone_peak,tone_start,trilled,vibrant,voice
mʷ,consonantal=1 labial=1 nasal=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mʷː,consonantal=1 labial=1 length=1 nasal=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mː,anterior=1 consonantal=1 labial=1 length=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mːʷ,consonantal=1 labial=1 length=1 nasal=1 round=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mːː,anterior=1 consonantal=1 labial=1 length=2 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mːˤ,anterior=1 atr=-1 consonantal=1 labial=1 length=1 nasal=1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mˠ,anterior=1 atr=-1 consonantal=1 dorsal=1 labial=1 nasal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
mˤː,anterior=1 atr=-1 consonantal=1 labial=1 length=1 nasal=1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
ṃ,anterior=1 consonantal=1 labial=1 nasal=1 syllabic=1 voice=1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
m̤,anterior=1 breathy=1 consonantal=1 labial=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
m̥,anterior=1 consonantal=1 labial=1 nasal=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
m̩,anterior=1 consonantal=1 labial=1 nasal=1 syllabic=1 voice=1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
n,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
nm,anterior=1 consonantal=1 coronal=1 distributed=-1 labial=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
nʲ,atr=1 consonantal=1 distributed=-1 dorsal=1 nasal=1 syllabic=-1 voice=1,0,0,1,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
nː,anterior=1 consonantal=1 coronal=1 distributed=-1 length=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
nːː,anterior=1 consonantal=1 coronal=1 distributed=-1 length=2 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
nˤ,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=-1 nasal=1 pharyngeal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̂,consonantal=1 coronal=1 dorsal=1 nasal=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
ñ,consonantal=1 coronal=1 nasal=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̊,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
ṇ,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
n̥,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
n̩,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
n̪,anterior=1 consonantal=1 coronal=1 distributed=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̪ˠ,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=1 dorsal=1 nasal=1 syllabic=-1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̰,anterior=1 consonantal=1 coronal=1 creaky=1 distributed=-1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̻,anterior=1 consonantal=1 coronal=1 distributed=-1 laminal=1 nasal=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
n̼,consonantal=1 coronal=1 labial=1 nasal=1 syllabic=-1 voice=1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
o,back=1 consonantal=-1 high=1 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oː,back=1 consonantal=-1 high=1 length=1 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oːː,back=1 consonantal=-1 high=1 length=2 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oˑ,back=1 consonantal=-1 high=1 length=0 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
oˤ,atr=-1 back=1 consonantal=-1 high=1 low=-1 pharyngeal=1 round=1 syllabic=1,0,0,-1,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
õ,back=1 consonantal=-1 high=1 low=-1 nasal=1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
õː,back=1 consonantal=-1 high=1 length=1 low=-1 nasal=1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ŏ,back=1 consonantal=-1 high=1 length=-2 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,-2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o̞,back=1 consonantal=-1 high=0 low=0 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o̞ː,back=1 consonantal=-1 high=0 length=1 low=0 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
õ̞,back=1 consonantal=-1 high=0 low=0 nasal=1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
õ̞ː,back=1 consonantal=-1 high=0 length=1 low=0 nasal=1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o̤,back=1 breathy=1 consonantal=-1 high=1 low=-1 round=1 syllabic=1,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o̤ːː,back=1 breathy=1 consonantal=-1 high=1 length=2 low=-1 round=1 syllabic=1,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,2,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
o̥,back=1 consonantal=-1 high=1 low=-1 round=1 syllabic=1 voice=-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
o̯,back=1 consonantal=-1 high=1 low=-1 round=1 syllabic=-1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
o̰,back=1 consonantal=-1 creaky=1 high=1 low=-1 round=1 syllabic=1,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
p,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pf,consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
pfʰ,consonantal=1 continuant=-1 labial=1 spread=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,-1
pfʼ,consonantal=1 constricted=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
ph,anterior=1 consonantal=1 continuant=-1 labial=1 spread=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
pk,anterior=1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pt,anterior=1 consonantal=1 continuant=-1 coronal=1 distributed=-1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pɸ,anterior=1 consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
pʰ,anterior=1 consonantal=1 continuant=-1 labial=1 spread=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
pʰː,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 spread=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
pʲ,anterior=1 atr=1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=-1,1,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pʲʰ,anterior=1 atr=1 consonantal=1 continuant=-1 dorsal=1 labial=1 spread=1 syllabic=-1 voice=-1,1,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
pʷ,consonantal=1 continuant=-1 labial=1 round=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pʼ,anterior=1 consonantal=1 constricted=1 continuant=-1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pː,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pːʰ,anterior=1 consonantal=1 continuant=-1 labial=1 length=1 spread=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
pːː,anterior=1 consonantal=1 continuant=-1 labial=1 length=2 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
pˠ,anterior=1 atr=-1 consonantal=1 continuant=-1 dorsal=1 labial=1 syllabic=-1 voice=-1,1,0,-1,0,0,0,0,1,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
p̚,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
p̪,consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
p̬,anterior=1 consonantal=1 continuant=-1 labial=1 syllabic=-1 voice=1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1
pᶠ,consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
pᶲ,anterior=1 consonantal=1 continuant=-1 labial=1 strident=1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
q,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qʰ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 spread=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
qʰʷ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 round=1 spread=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
qʷ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 round=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qʷʰ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 round=1 spread=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1
qʷʼ,consonantal=1 constricted=1 continuant=-1 dorsal=1 pharyngeal=1 round=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qʼ,consonantal=1 constricted=1 continuant=-1 dorsal=1 pharyngeal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qʼʷ,consonantal=1 constricted=1 continuant=-1 dorsal=1 pharyngeal=1 round=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qʼ↓,consonantal=1 constricted=1 dorsal=1 pharyngeal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
q̚,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
qχ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
qᵡ,consonantal=1 continuant=-1 dorsal=1 pharyngeal=1 strident=1 syllabic=-1 voice=-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1
r,anterior=1 consonantal=1 coronal=1 distributed=-1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rʲ,atr=1 consonantal=1 distributed=-1 dorsal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,0,0,1,0,0,0,0,1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rː,anterior=1 consonantal=1 coronal=1 distributed=-1 length=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rːː,anterior=1 consonantal=1 coronal=1 distributed=-1 length=2 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rːˤ,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=-1 length=1 pharyngeal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rˤ,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=-1 pharyngeal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
rˤː,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=-1 length=1 pharyngeal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̃,anterior=1 consonantal=1 coronal=1 distributed=-1 nasal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̠̙,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=-1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
ṛ,consonantal=1 coronal=1 distributed=-1 syllabic=-1 trilled=1 vibrant=1 voice=1,0,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̥,anterior=1 consonantal=1 coronal=1 distributed=-1 syllabic=-1 trilled=1 vibrant=1 voice=-1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,-1
r̩,anterior=1 consonantal=1 coronal=1 distributed=-1 syllabic=1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
r̪,anterior=1 consonantal=1 coronal=1 distributed=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̪ː,anterior=1 consonantal=1 coronal=1 distributed=1 length=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̪ˤ,anterior=1 atr=-1 consonantal=1 coronal=1 distributed=1 pharyngeal=1 syllabic=-1 trilled=1 vibrant=1 voice=1,1,0,-1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
r̪̥,anterior=1 consonantal=1 coronal=1 distributed=1 syllabic=-1 trilled=1 vibrant=1 voice=-1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,-1
r̼,consonantal=1 coronal=1 labial=1 syllabic=-1 trilled=1 vibrant=1 voice=1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1,1
s,anterior=1 consonantal=1 continuant=1 coronal=1 distributed=-1 sibilant=1 sonorant=-1 syllabic=-1 voice=-1,1,0,0,0,0,0,0,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,0,0,0,0,-1
